userId,movieId,title,rating
7,158,PiÄ™Ä‡dziesiÄ…t twarzy Greya,1
7,159,Nie patrz w gĂłrÄ™,4
8,160,MiÄ™dzy piekĹ‚em a niebem,10
8,61,DzieĹ„ Ĺ›wira,10
8,161,K-PAX,10
8,140,Matrix,9
8,162,Jumanji,9
8,163,Trainspotting,9
8,142,Pulp Fiction,9
8,164,PrzekrÄ™t,8
8,165,Asterix i Obelix: Misja Kleopatra,8
8,166,Parasite,8
8,167,Jestem na tak,7
8,168,Lobster,8
8,169,Snajper,6
8,170,Marsjanin,5
8,171,The Square,3
8,150,Fantastyczne zwierzÄ™ta i jak je znaleĹşÄ‡,5
8,172,Split,5
8,173,Wojna Ĺ›wiatĂłw,4
8,110,BÄ™karty wojny,5
8,174,Jestem legendÄ…,5
8,175,Osobliwy dom Pani Peregrine,4
8,176,Pitbull. Nowe porzÄ…dki,6
8,177,Zenek,2
8,178,Terror na drodze,3
8,179,Salt,4
8,180,Agenci,4
8,181,Transporter: Nowa moc,2
8,118,Deadpool,4
8,182,Alibi.com,6
8,183,ZabĂłjczy rejs,4
9,25,Narcos,10
9,2,Rick & Morty,10
9,107,Game of Thrones,9
9,184,Stranger Things,6
9,140,Matrix,8
9,144,WĹ‚adca PierĹ›cieni,8
9,30,La Casa De Papel,8
9,185,The Witcher,6
9,186,Breaking Bad,7
9,166,Parasite,6
9,187,The OA,1
9,104,Harry Potter,10
9,188,The 100,2
9,189,House of Dragon,7
9,190,The Accountant,3
10,113,Django,10
10,2,Rick & Morty,10
10,138,Star Wars IX,3
10,185,The Witcher,8
10,191,Avengers Endgame,5
10,192,Castlevania,10
10,193,Silent Hill,3
10,194,Pirates of the Caribbean,6
10,195,Shrek,8
10,196,Bladerunner,8
10,197,Edgerunners,10
10,198,Mission Impossible Fallout,7
10,108,Zmierzch,4
10,199,Joker,10
10,200,Tranfsormers I,10
10,201,Spiderman Homecoming,4
10,202,Prometheus,6
10,107,Game of Thrones,7
10,203,Family Business,7
10,204,Alien vs Predator,1
10,205,Hateful 8,9
10,118,Deadpool,5
10,139,Avatar,7
10,206,Space Force,8
10,207,The Office,10
10,98,Venom,3
10,24,John Wick,10
11,123,Kapitan Bomba,10
11,143,Star Wars,8
11,15,Forrest Gump,10
11,208,Dwunastu Gniewnych Ludzi,10
11,144,WĹ‚adca PierĹ›cieni,8
11,142,Pulp Fiction,10
11,209,I Am Legend,6
11,140,Matrix,8
11,195,Shrek,10
11,120,Kevin sam w domu,5
11,210,300,2
11,115,Interstellar,8
11,211,Maska,2
11,199,Joker,7
11,212,Igrzyska Ĺšmierci,5
11,213,Wszystko za ĹĽycie,6
11,22,Grand Budapest Hotel,9
11,214,Zjawa,9
